text,sub_keywords,keywords,class
"Depuis le décès de ma grand mère et qu elle est en retraite , ma mère ne sort de chez elle seulement pour faire des courses . Elle ne fait pas son ménage , ne se lave pas tous les jours et ne veut voir personne . Quand on arrive à la voir , elle n est présente que physiquement .  Depuis 2 ans j'ai utiliser toutes mes ressources , je lui ai même dis de venir vivre vers chez moi mais rien . Elle ne veut pas voir un psychologue , pourtant elle sait qu elle en a besoin car l été 2020 elle a été hospitalisé pour des problèmes de reins et elle a vu un psychologue . Bien sûr elle s alimente très mal et elle a même vu une nutritionniste pendant son hospitalisation .  Toutes aides sont les bien venue .",décès de ma grand-mère;mère;ne fait pas son ménage,deuil;dépression,thérapie de soutien
"Bonsoir à tous, Je m'appelle Hannah. Depuis que je suis toute petite, je me questionne beaucoup sur le monde et sur moi. Et j'ai du mal à m'y retrouver, chaque nouvelle réponse apportant de nouvelles questions. J'ai l'impression de ne rien comprendre au monde, aux gens, d'être un ovni, et paradoxalement, j'ai l'impression d'y voir très clair. Pour commencer, je vais me présenter. Je suis étudiante. J'aime beaucoup regarder le ciel lorsqu'il est dégagé, je trouve ça très apaisant. J'ai de nombreuses peurs. Les micro-ondes, être en retard, les monstres sous mon lit. Des peurs assez futiles, qui ont toujours étonné mon entourage qui est habitué à me voir forte et courageuse. Voila, c'était quelques détails. Rentrons dans le vif du sujet. Je vais aborder les choses chronologiquement. Lorsque j'étais en primaire, j'adorai jouer au foot avec les garçons, et les filles se moquaient beaucoup de moi. J'adorai les mathématiques. J'étais dans un quartier mal réputé mais ce n'était pas très grave. J'ai sauté des classes sans trop savoirs pourquoi et je me quis retrouvée au collège. Au collègz je me suis faite beaucoup harcelée. Il semblait que j'étais différente. Briller à l'école n'était pas très bien vu... Je me rappeller de cette phrase de mes camarades de classe : ""Hannah, tu as une intelligence scolaire. Dans la vraie vie, tu ne sais rien faire. Tu ne réussiras pas.  Nous au moins, on la connais, la vraie vie"". Cette phrase m'a profondément touché car jamais je n'ai pensé avoir une intellligence scolaire. Au contraire, je m'amusais à deviner les sujets des contrôles en étudiant les mimiques des profs pendant les cours, à prévoir la bonne réponse à donner selon la question, et je ne réfléchissais pas tellement aux problèmes posés, sauf lorsqu'ils m'intéressaient. Au bout de quelques années j'ai compris que j'étais franchement bizarre, et que j'avais une manière d'abordzr les choses assez décalée . Le harcèlement a cessé, mes camarades avaient découvert que ""l'intello"" n'avait pas mauvais fond. Bref, je n'avais plus à m'inquiéter ni des gens, ni des cours, alors j'ai commencé à me questionner sur le sens de la vie, comme tout jeune enfant. J'ai aboutit à la conclusion qu'on meurt tous un jour et que ce n'est pas bien grave, tant qu'on souris à la vie entre temps. Mais voila le problème. Des parents très strictes qui n'ont fait qu'accentué le léger décalage que j'avais avec mes camarades à cause de mon âge. Je m'étais battu pour m'intégrer ! Et voila que je me retrouvai seule. Je ne pouvais pas sortir, j'étais très surveillée. Ma mère m'a dit ""Tu dois l'accepter. Tu ne seras jamais comme les autres. Tu l'as choisis. Tu seras toujours en décalage, il faut t'y habituer"". Je l'ai tellement mal pris que j'ai arrêter de travailler, j'étais un vrai cancre en classe pour ma dernière année de collège. Je redoublais de stratégie pour m'évader de chez moi dans le dos de mes parents pourtant tellement observateur ! Leur vigilence parfois excessive m'a rendu débrouillarde, il faut croire. Mais elle m'a aussi rendue très triste. Je suis arrivée au lycée, triste. Je suis tombée dans diverses addictions, et j'en suis arrivée à un stade où je ne mettais plus les pieds en cours sans avoir pris quelque chose. J'enchainais les conneries. La conclusion sur le sens de la vie à laquelle j'avais aboutit au collège s'était transformée en un ""vie avant que ton père te tue"". Ce dernier me terrifiait. Je crois que c'est un manipulateur. C'est très interessant de le voir en action avec les autres... Et un peu douloureux lorsque c'est vous, ""les autres"". Il m'a beaucoup appris : être forte, mentir, me battre psychologiquement. Je pense qu'il m'a tout de meme bien brisé. Mais il est toujours resté très droit, c'était simplement sa manière d'etre, je crois, et je ne lui en veux pas. Enfin, je crois que ma soeur l'a moins bien vécu... Mais je fais tout pour la protéger. Bref, je me suis sortie de la drogue. Il m'arrive encore de boire un peu trop sans occasion particulière, mais sans excès. Et puis, j'ai commencé à faire le mur ; pas facile lorsqu'on habite au sixieme étage dans un minuscule appart' où tout le monde vie entassé ! Mais plus c'était difficile, plus j'y prenais du plaisir. Les options supplémentaire de maths du lycée ne suffisaient plus à assouvir ce besoin que j'avais de toujours repousser mes limites, toujours donner un nouveau truc à faire à mon cerveau. Décortiquer les gens sans leur parler, deviner des choses rien qu'en observant, apprendre des disciplines... J'adorais. J'aspirai à beaucoup plus tard. À la fin de mon lycée, je me suis beaucoup questionnée. Qui suis-je ? Une ""intello qui ne sait rien de la vraie vie"" ? Une toxicomane, une alcoolique ? Une tête brûlée ? Une punk ? Une gamine terrifiée par son père qui veut mourir ? Ou juste une fille maladroite qui ne sais pas descendre un escalier sans se casser la gueule ? Une sorte de peur devait me tirailler, je suppose, et elle m'a poussé à vivre en très peu tellement de vies différentes...  J'ai commencé à me sentir très différentes des gens. Mes camarades se contentaient d'une copine, de voir leurs amis parfois, de jouer un peu et d'écouter vaguement les cours, et de pratiquer leur passion le week-end. J'organisais des soirées clandestines dans des souterrains abandonnés en pleine semaine, des concerts improvisés dans mon lycée, je mettai en place des stratégies pas si mal pour m'évader de chez moi à 2h du matin pour m'acheter un glace chez macdo, bref, je remplissai à fond mes semaines. Je faisais un tour dans un nouveau coin de ma ville chaque soir en rentrant des cours, je donnai des heures et des heures de cours particuliers gratuits, je visitai des musées sur des coups de tête, je plongeai dans la Seine (ne vous moquez pas) parce que les étoiles que les lumières qui s'y relfètaient la nuit était si belle...  Je ne concevait pas la vie sans toutes ces ""aventures"". Et plus le temps passait, plus je profitai de la beauté du monde que je trouvai resplendissant dans ses moindre détails. C'est assez drôle, quand j'y repense. J'oscillais entre admiration du monde et dégoût. Dégoût, parce que voir tous ces gens vivrent paisiblement leur vie tout en étant indifférent à la beauté du ciel, au chant des oiseaux et à la brieveté de la vie, me faisait du mal. J'ai commencé à avoir du mal à comprendre des gens, et socialement parlant, j'ai eu l'impression de m'écarter encore plus des autres. J'avais l'impression de vivre... Différemment. De passer une moitié de mon temps cloîtrée dans mes pensées, à tout observer de loin, derriere une vitre. Et puis de passer le reste de ma vie à m'extasier devant un bourdon qui butine. Et puis, pour finir, j'ai bosser dur la fin de ma derniere année de lycée pour obtenir ce que je voulait faire. L'idée de partir à la poursuite des étoiles ne me déplaisait pas alors je me suis lancée dans une fillière scientifique après le bac (reste à voir ce que ça donnera).",je me questionne beaucoup sur le monde et moi;peurs;j'ai sauté des classes;harcelée;j'étais différente;sens de la vie;parents très strictes;addictions,haut potentiel;dépression;tristesse;connaissance de soi;s'accepter,thérapie cognitivo-comportementale
"Bonjour, Je me sens désemparée car j'ai du mal a oublier mon ancien copain, malgré les violences qu'il a eu envers moi, je l'ai foutu à la porte de chez moi il y a plus d'une semaine car j'avais peur qu'il devienne de nouveau violent après une dispute, depuis plus de nouvelles de lui. J'ai même été hospitalisé en urgences psychiatriques pendant cette semaine et ils m'ont fait sortir jeudi. Je n'arrête pas de faire des cauchemars où il vient pour me tuer mais en même temps je me repasse en boucle les bons souvenirs que nous avions au début de notre relation. Si vous voulez en savoir plus, j'ai posté en détail mon problème ici : https://forum.doctissimo.fr/psychologie/couples-relations/largue-relation-sujet_259464_1.htm La psychiatre des urgences m'a dit que j'avais un problème et de grandes difficultés lié a l'abandon depuis longtemps et que c'est pour cela que je n'ai pas su arrêter la relation même en subissant des violences et que j'avais probablement eu affaire à un pervers narcissique vu qu'il me culpabilisait sur tout, que je me suis isolé et rendue malade au fil de la relation. Je cherche a faire un réel travail afin de comprendre pourquoi je reproduis ce schéma de relation et pourquoi j'ai du mal a me sentir bien seule. Pouvez-vous m'aider a me donner des pistes? Natasha",ancien copain;violences envers moi;peur qu'il devienne à nouveau violent après une dispute;urgences psychiatriques;cauchemars;il vient pour me tuer;diffcultés liées à l'abandon;pervers narcissique;je me suis isolée;schéma de relation,dépendance affective;rupture;violences;traumatisme;travail sur soi,thérapie cognitivo-comportementale
"Bonjour,  J'ai de l'agoraphobie depuis plusieurs années et je suis suivi en tcc depuis plus de 3 ans avec peu de résultat. Franchement, je ne sais plus quoi faire....les tcc sont elle censée durant autant de temps?",agoraphobie,phobie,thérapie cognitivo-comportementale
"Bonjour, Comment aider un proche qui souffre d insomnie à cause des angoisses.",proche;insomnie;angoisses,troubles du sommeil;angoisse;anxiété,thérapie cognitivo-comportementale
"Bonjour,  c’est une histoire un peu bateau.. je n’avais pas de problème avec ma belle-mère, jusqu’a notre décision d’avoir une famille mon compagnon et moi. deja elle n’a pas sauté de joie à l’annonce de ma grossesse. Puis petit à petit elle a commencé à être méchante avec moi. Des pics, des réflexions, des attitudes inappropriées envers moi. J’ai passé 10 jours à la maternité et elle a passé 10 jours à venir tous les jours (avant les heures autorisés) alors que je disais non. Puis à la naissance de mon fils c’etait : »tu ne vas pas allaiter plus de deux mois », »il faut acheter du lait en poudre », je ne pouvais pas l’avoir dans les bras tout le temps où elle était là. Elle est collée à mon fils et ne le lache pas d’une semelle, il fait un pas elle fait un pas.  Ce que j’achete a mon fils, c’est pas bon pour lui, tout le temps en opposition avec moi sur ce que je fais ou dis... Elle a même montré la famille de mon compagnon contre moi en disant que je l’interdit de voir mon fils (ce qui est faut), que si ça se passe mal je pars avec mon fils (également faux)... elle m’a même dit « je fais ce que je veux avec M (mon fils), c’est le fils de mon fils », elle réponds à ma place quand on me pose des questions.. on m’a même dit dans la famille de mon compagnon « tu lui as volé son fils » (a ma belle-mère). Elle est vraiment envahissante et excessive. ça a mi vraiment beaucoup de tension entre mon compagnon et moi.  Mon compagnon n’a que sa mère. Sa mère l’a eu à 20ans et a qui son père pour retourner vivre chez ses parents avec mon compagnon. Elle n’a jamais refait sa vie et mon compagnon a été élevé par ses grands-parents.  Aujourd’hui on construit notre maison. Et on vient d’apprendre que ma belle mère est en grosse grosse difficulté bancaire. Notre fils a 2 ans et depuis elle a commencé à faire n’importe quoi avec son argent. Mon compagnon doit l’aider financièrement et doit gérer ses papiers maintenant car elle ne sait pas se gérer.  Je suis vraiment en colère contre elle de ce qu’elle nous fait vivre à mon compagnon, mon fils et moi.  Aujourd’hui je ne peux plus la voir et j’ai du mal à supporter qu’elle voit mon fils.  Ce qui rajoute des tensions dans notre couple. Mon compagnon a du mal (ou ne veut pas comprendre) à comprendre mon attitude. Sa mère a un vrai problème et c’est hyper oppressant pour moi.  Je ne sais pas quoi faire ou comment réagir. Je ne sais pas quoi me dire pour supporter quand elle voit mon fils.  Ou je précise qu’elle vient dès que je ne suis pas là  pour que je ne vois pas son attitude. Donc elle appelle tout les jours mon compagnon et lui pose 10 questions et savoir si je travaille pour qu’elle vienne.  Merci pour vos réponses",belle-mère;compagnon;famille;grossesse;elle est collée à mon fils;ne le lache pas d'une semelle;tout le temps en opposition avec moi;mon compagnon doit l'aider financièrement,famille;relations toxiques;affirmation de soi,thérapie systémique
"En ce qui me concerne, tout a commencé avec un déni de grossesse et une reconnaissance maternelle à la naissance bien tardive. Je ne me souviens pas d’avoir prononcé dans ma vie le mot maman et que derrière, on me répondît. Je n’ai aucun souvenir de ma génitrice. Tout au plus son prénom, lequel j’ai eu un mal fou à me rappeler à l’époque, lorsque la maîtresse m’avait demandé comment elle s’appelait alors que tous les bambins de la classe fabriquaient des petits cadeaux à la noix pour la fête des mères ce jour-là. Je devais avoir 6 ou 7 ans cela faisait 2 ans que ma mère avait abandonné ses enfants et son conjoint. Je n’aurais jamais de nouvelles. Hormis cet accident de parcours, tout s’est à peu près bien passé, mon père était là. A l’école, au collège,  je me débrouillais bien sans être brillant non plus. J’avais des copains. Puis il y a eu 2008. J’étais au lycée et c’est à cette période que les premiers grands amours peuvent survenir pour le plus grand bien des concernés. Et comme pour certains de mes amis à l’époque cela m’est tombé dessus : une grande brune typée aux courbes généreuses. L’intensité du plaisir que j’ai eu à la côtoyer n’a eu d’égale que la douleur que j’ai subie lorsque elle m’a rejeté ce jour d’octobre 2008. Il était 20h32. Je l’ai très mal vécu et n’avait personne à qui en parler. Je crois que c’est à cette époque que la mort a eu une apparence aussi nette dans mon esprit. Mes résultats scolaires avait piqué du nez et mon père n’a pas bien réagi : au lieu de discuter calmement de ce que j’avais sur la patate il n’a été question que d’engueulade, de culpabilisation et de remontrances. Avec du recul, je réalise qu’il n’a même pas réalisé que j’étais amoureux d’une fille, donc con comme un jeune chien et que cela m’avait perturbé. C’est depuis cela que je garde ma vie affective sous scellé et que je n’en parle à personne, en particulier mon père. Je n’en parle à personne peut être aussi parce qu’il n’y aurait pas grand-chose à dire. Je pense également avoir développé un rapport pragmatique avec la mort dans la mesure où je m’y prépare depuis longtemps et que dans mon esprit tout est d’ores et déjà acté : celle de mes parents, de mes proches, la mienne. Et c’est en y ayant pensé tous les jours depuis cet amour-là qui a été tellement destructeur et dont il m’a fallu au moins 4 ans pour m’en défaire, que cela devient, comme pour la respiration, quelque chose d’acquis et d’automatique. Je crois cependant avoir développé en parallèle, outre une indépendance, avec violence et brutalité, une force mentale peu commune au fil des ans. Encaisser sans broncher a été un moteur, un mantra sur les 10 dernières années de ma vie. C’est la raison pour laquelle à contrario de beaucoup de gens de mon entourage personnel, familial, professionnel, j’étais très serein cette année 2020, heureux même. Certes, j’ai compté mes heures mais uniquement celles où je me reposais. Je me suis même surpris à me moquer de certains et de les insulter de gros peureux de la vie. J’irais même jusqu’à confesser avoir ressenti une sorte de justice divine avec ce covid quand j’ai réalisé que pleins de gens, que je n’aime pas, que je ne connais ni d’Eve ni d’Adam ont subi pendant 1 an ce que j’ai subit depuis tant d’années. Dans le fond, le covid ne m’a pour ainsi dire ni infecté ni affecté, cela me passe au-dessus de la tête, comme Spoutnik au-dessus de la Terre, malgré 100 000 morts dans le pays. J'ai tort parce que je suis professionnel de santé. Un bloc de d’osmium voilà ce que je suis selon ma dernière ex-compagne, qui était l’exact opposé de moi et face à laquelle je me suis senti bien ringard de ne pas avoir été en mesure de lui apporter un peu plus de choses positives dans sa vie. Je le vois bien qu’il y a des choses qui ne tournent pas rond. Je le vois bien que mon développement et ma vie affective est un carnage sans nom. J’ai été consulté un psychiatre à trois reprises parce que je commençais à me demander si je n’avais pas un problème sérieux. Non, rien du tout, que dalle. Il m’a recommandé d’aller voir un psychologue. Sauf que dans ma tête ça bloque : la fille dont j’étais si amoureux à 16 ans au point d’en devenir complètement con exerce cette profession aujourd’hui. Il y a des moments de joie et où la rage de vivre casse tout, comme l’an dernier précisément. Une fille, encore une, sur mon lieu de travail. Je fais gaffe à ne rien laisser déborder par déontologie. Mais elle avait tout pour me plaire. Ça a été un moteur puissant. Bon puis ça a fini par caler parce que non seulement j’ai appris qu’elle n’en avait rien à foutre de moi mais qu’en plus elle m’a bien tiré dans le dos. Il y a des moments où l’élan vital s’efface, le cœur devient subitement lourd, les larmes guettent mais ne sortent pas. Les souvenirs douloureux, les regrets encore vifs, les amours passées comme avortées refont surface. C’est à ce moment-là que la lourdeur du cœur devient presque une douleur. Il y a des moments où les manques sont en excès et sont comblés par tout et n’importe quoi : l’excès de nourriture, l’excès de cigarette, l’excès de chair, l’excès d’alcool, l’excès de psychotropes et on se détruit à petit feu et en silence sans broncher. C’est à ce moment-là, que je souris, et ressens un profond soulagement. Et il y a des moments où je vois cet enfant que j’ai été, qui demandait de l’affection, implorait à ce qu’on lui donne manger et qui a fini par crever. C’est à ce moment-là  que les larmes coulent à flot.   Aujourd’hui j’ai 29 ans et je ne me souviens pas d’une fille qui m’ai dit je t’aime droit dans les yeux. Il y a des mots que je ne comprends tout simplement plus.",déni de grossesse;ma mère avait abandonné ses enfants et son conjoint;les premiers grands amours;la douleur que j'ai subie lorsqu'elle m'a rejeté;très mal vécu;culpabilisation,acceptation;rupture;expression des émotions,thérapie de la gestalt
"Bonjour, Je m'appelle Cinthia, j'ai 36 ans et deux enfants en bas âge. Après la naissance de ma fille mes cheveux se sont mis à changer et à ressembler à ceux de ma maman. Je me suis alors mise à les retirer mais rien de trop grave à cette époque. Aujourd'hui, je rencontre beaucoup de difficultés relationnels au travail et je stress énormément. Si bien qu'à présent, je vis de véritables crises d'auto destruction entre trichotomanie, crise d'angoisse, ongles rongés et prise de poids. Je ressens de la colère comme un film qui passe en boucle. Les.gens me déçoivent tellement que j'ai préféré prendre mes distances et donc je n'ai plus aucun amis. Je suis très seule et je vis très mal le travail de mon mari qui le fais beaucoup voyager et donc me laisse seule gérer la famille durant de longues périodes. Je n'arrive pas à me soigner et je n'arrive pas à savoir si je suis malade...",stress;difficultés relationnelles au travail;crise d'auto-destruction : trichotomanie;crise d'angoisse;prise de poids;colère;je suis très seule,stress;relation sociale;troubles obessionnels compulsifs;tristesse,thérapie cognitivo-comportementale
"Bonjour  Je suis avec un homme que j aime . Je n’arrive pas à comprendre ses réactions .  un moment nous sommes bien heureux et d’un seul coup il me rabaisse m’insulte.  il revient toujours sur le même sujet quand il « Pete un plomb «  . Il n’a pas été diagnostiqué bipolaire. Il ne veut pas vous son Medecin , ne veux pas parler à un psychologue.pour lui c est moi le problème .  Je ne sais plus comment réagir devant ses cris ses insultes . Je dois l’ignorer, lui répondre......  je l’aime tellement que je n’arrive pas à imaginer qu’il puisse me quitter   JE SUIS PERDUE",je suis avec un homme;je n'arrive pas à comprendre ses réactions;il me rabaisse;m'insulte,couple;bipolarité,sexothérapie
"Bonjour à tous,  je ne sais pas vraiment pourquoi j’écris ici, peut-être que je recherche une réponse miracle, ou juste à décharger ce que je ressens. Pour commencer, je vais me décrire pour vous donner une idée de qui je suis.  Je suis un homme de 27 ans célibataire, je travaille dans la finance, mon emploi me plaît beaucoup, et j’ai la possibilité d’avoir une belle carrière professionnelle. J’ai des amis, que j’aime énormément, ma famille m’aime et est stable, je suis sociable, j’ai cette capacité à être apprécié dans une soirée ou je ne connais personne, à être drole, avenant, comprehensif etc ... en bref, je n’ai pas de problèmes majeurs dans la vie.   et pourtant, je me sens déprimé à longueur de temps. Je me sens triste constamment, et je ne le montre pas car je n’y arrive pas . J’ai ce blocage lié aux sentiments, qui fait que je n’arrive pas à exprimer quoi que ce soit, sans avoir l’impression de dévoiler mon jardin secret et d’être vulnérable.  Également, je suis constamment habité par le regard des autres, que vont-ils penser de moi ? Je dois faire bonne figure, je ne veux embêter personne avec mes problèmes, etc ..  J’ai besoin de me sentir aimé constamment. J’enchaîne les histoires sans lendemain, car pendant un bref instant j’ai l’impression d’être aimé, mais tout ça est vide de sens. Parallèlement, j’ai cette phobie de l’engagement. Lors de mes précédentes relations sérieuses, j’ai fui dès que ça devenait sérieux (a parler emménagement, enfants etc..). J’ai le sentiment d’avoir les pieds et poings liés, d’être prisonnier.   en bref, j’ai l’impression de chercher le bonheur sans jamais le trouver, ou de le fuir en permanence, dans la peur de me dévoiler, de m’exposer, de « qu’est-ce que les gens vont dire ».  Ma tête fonctionne tout le temps a mille â l’heure, remplie de pensées parasites, a toujours imaginer le pire dans toutes les situations, si bien que je dors très mal, comme si ma tête n’arrêtait jamais de tourner.  Je ne sais pas si c’est clair. Je crois que j’aimerais juste en parler. Je n’ai pas de pensées suicidaires ou autre, je retranscris juste un mal être permanent, dont personne n’est au courant autour de moi parce que je fais bonne figure ...  ceci est une bouteille à la mer   bonne soirée",je me sens déprimé;triste constamment;je ne le montre pas;blocage lié aux sentiments;n'arrive pas à exprimer;habité par le regard des autres;histoires sans lendemain : phobie de l'engagement;imginer le pire;je dors très mal,tristesse;anxiété;expression des émotions;engagement,thérapie cognitivo-comportementale
"Bonjour, Je ne me comprends pas. Je veux toujours ce que je n'ai pas et dès que j'arrive à l'avoir je laisse tout tomber et je veux autre chose. Au final je fini par ne rien avoir. Je suis comme sa dans la vie sentimentale aussi.  Quel est mon problème?",je veux toujours ce que je n'ai pas;je laisse tout tomber,développement personnel;connaissance de soi,psychanalyse
"Bonjour ! Je suis une femme de 26 ans. Ma maman est atteinte d'un cancer du sein (sous hormonothérapie depuis 4 ans et en passe de reconstruction mammaire)  Depuis le début de l'année, on m'a diagnostiqué une alopécie androgénétique...et comme je suis assez jeune, cela reste tout de même peu commun. Le souci est là. Depuis que l'on m'a annoncé cela, j'ai aussi été prise de douleurs mammaires, principalement à droite et localisée. Deux echographies après, on m'annonce qu'il n'y a rien et qu'une mammographie est inutile car a mon âge, cela ne serait pas visible... Mais j'ai l'intime conviction d'avoir un cancer naissant. J'ai une trouille bleue de la mort, ou plutôt d'abandonner mon copain avec qui je vais emménager bientôt ainsi que mes proches. Peur d'avoir une maladie qui raccourcisse ma vie... Une amie proche vient d'être diag. d'un cancer du sein à 34 ans et la cousine de ma mère est elle aussi en plein dedans avec un pronostic pas terrible... Mes douleurs sont réelles bien que très peu gênante car pas tous les jours et peu intensives... et ce depuis le début de l'année.  Si je m'écoutais, je serais déjà chez mon gyneco à pleurer pour passer un IRM/mammo etc... Sans compter que la moindre douleur ailleurs me fait imaginer des métastases à cause de cedit cancer, tousser me fait imaginer un cancer des poumons, le mal de ventre pareil etc ... Ça devient invivable. Je ne sais pas quoi faire ni vers quel professionnel me tourner, cela me ronge au quotidien... Lorsque je suis avec mon copain ça va, je me canalise mais dès que je suis seule, j'y pense et/ou je me retiens de parcourir les forums à la recherche de réponses (peu rassurantes, forcément...) Je ne me preoccupais pas autant de ma santé auparavant...mais maintenant cela me hante. D'autant que la carapace que je m'étais forgée a éclaté, je suis hypersensible et vivant dans un environnement stressant (ma maman est elle aussi hypocondriaque, cela n'arrange rien...), je ressens tout le stress des autres... Je veux arrêter le feu tout de suite avant de me stresser davantage, car ça me ronge, je ne me reconnais plus...  Merci beaucoup",maman;cancer;on m'a diagnostiqué;trouille bleue de la mort;peur d'avoir une maladie;hypersensible;environnement stressant,maladies;cancer;somatisation;anxiété,thérapie cognitivo-comportementale
"Bonjour, Depuis quelques temps, j'ai des problèmes relationnels au travail. Après 10 ans dans la même entreprise, les gens qui m'entourent commencent à me connaître et cela me fait peur. Du coup, je me pose des questions et je me rends compte que je ne vois que le négatif dans tout : les gens, les situations , les souvenirs, les actions, les réactions, les messages, le non verbal, ... vraiment tout. Quand je pense à mon enfance, je n'ai que les choses qui m'ont dérangées qui me reviennent. Quand je rencontre des gens je les déteste tous au départ. J'ai des à priori négatif sur les gens qui m'entoure et quand quelqu'un que je n'aime pas fait quelque chose envers moi pour moi c'est forcément pour me nuire. Quand ma sœur me raconte des événements qui lui arrive au travail je pars du principe que c'est de sa faute si elle a des problèmes. Et mes parents.... ils sont responsables de tout ces souvenirs négatifs qui sont dans ma tête.  Les moments heureux, les belles amitiés, les belles rencontres, les grandes discussions qui font du bien... je ne les garde pas en mémoire même si je sais qu'ils ont existés.  Quand je dois faire ma correspondance au travail, je dois prendre sur moi pour utiliser le langage de politesse quand je ne le pense pas. Pour rester neutre, pour voir Le positif.  Cela me pèse beaucoup parce que je suis toujours déçue par les autres, parce que je ne peux pas avoir une conversation joyeuse, parce que je ne peux pas voir les choses bien qui m'arrive. Seul le négatif est important dans ma vie. Quand je réussi quelque chose cela n'a pas d'importance mais quand on me fait un reproche je cogite à mort. Alors je n'ai pas d'amis et les gens en on marre De cette personne fixée sur le négatif sans arrêt que je suis. Comment voir les autres autrement ?  Comment changer ? Et pourquoi suis-je ainsi ? Si vous pouvez m'aider je veux bien parce que je suis fatiguée d'être comme ça...  Merci  Cinthia",problèmes relationnels au travail;je ne vois que le négatif;a priori négatif;seul le négatif est important dans ma vie,image de soi;pensées dysfonctionnelles;fausses croyances,thérapie cognitivo-comportementale
"Bonsoir,   Je suis une jeune femme de 31 ans, je n'ai pas été gâtée par la vie, j'ai un visage plutôt ingrat et je vis un calvaire en raison de ce terrible préjudice.  Je suis victime de manière récurrente de discriminations au physique, c'est partout, dans la rue, dans les transports, dans les lieux publics, je ne demande rien, je  marche tranquillement, et je me prends des insultes en pleine face : ""t'as une sale gueule, va te cacher, va crever, moi à ta place je me suiciderais si j'avais un physique pareil, t'es pas belle, qu'est-ce que t'es moche""... et j'en passe, j'ai entendu tant et tant d'insultes toutes plus ignobles les unes que les autres que je ne les compte plus.  Je souffre profondément de mon aspect physique qui a toujours été pour moi un très lourd handicap qui m'affecte et me porte préjudice dans tous les domaines de ma vie.  Je subis les conséquences de ce drame de manière permanente. Je ne sais pas si je serai canonisée après ma mort, mais en tout cas ma vie aura vraiment été du début à la fin un atroce calvaire à cause de ce physique qui me fait tellement mal et me lèse et me vaut des discriminations sans fin...  Je suis remplie de haine et de colère, je souhaite profondément qu'il arrive malheur à toutes les personnes qui se croient autorisées à rire de mon physique ou bien à le critiquer. On voit que ces abrutis ne savent pas ce que c'est que vivre un calvaire tel que le mien, on voit qu'ils n'ont pas souffert pour agir comme ils le font ces racailles!!  J'étouffe de haine, chaque jour nouveau est un nouveau cauchemar.  Avant même de mettre un pied dehors je me demande par avance ce que cette sale vie pourrie a concocté comme malheur pour moi et hop ça ne rate pas... A peine ai-je fait 3 pas dans la rue que je me prends des insultes.  Aujourd'hui c'était à un feu rouge, j'attendais pour traverser, une voiture est passée, il y avait 4 racailles dedans. L'un d'eux a baissé sa vitre et m'a interpellée en disant ""tu peux traverser m'dame, avec la gueule que t'a personne ne va t'écraser, t'es trop moche, ils auraient peur de saloper les roues de leur caisse""... C'est un exemple parmi tant d'autres...  C'est au quotidien que je subis ces traumatismes, je n'en peux plus, je ne demande rien à personne, je ne parle à personne dans la rue. De quel droit ces déchets viennent-ils m'agresser de la sorte?    Je forme des voeux pour que cette sale engeance connaisse à son tour le plus atroce des calvaires. Ils le méritent. Je souhaite de tout mon coeur un sort atroce à tous ceux qui osent rire de moi, à tous ceux qui me balancent dans la tête que je ne suis pas un canon, à tous ceux qui m'humilient, me mettent plus bas que terre, me font vivre un odieux enfer.. .  Quelle est la vie d'une  jeune femme privée de la beauté physique?  Le manque de beauté c est vraiment pire que tout. Le racisme ordinaire n'est vraiment rien comparé au calvaire atroce que je subis au quotidien. Je suis désemparée, désespérée, la haine ma dévore.  J'ai déjà posté sur ce forum concernant une expérience traumatisante que j'ai subi avec une ordure de sale type qui se prétend hypnothérapeute mais qui n'est en réalité qu'un pervers et dont je garde un souvenir amer. Ce type malsain m'avait très lourdement insultée sur mon physique et avait tenu des propos dignes d'une apologie au suicide.  Ce soir, après le nouveau drame qui m'a frappée avec cette agression verbale, j'étouffe de haine et de rage, je me sens démunie face à la crasse horrible que la vie m'a faite : avoir privé une  jeune femme de la beauté physique, c'est vraiment le pire des crimes que dame nature pouvait commettre et elle l'a perpétré contre moi. C'est ignoble et les mots me manquent pour exprimer la rage que je ressens.                ",discrimination physique;je souffre;aspect physique;handicap;emplie de haine et de colère;traumatisme;aggression verbale,image de soi;acceptation de soi;traumatisme,thérapie cognitivo-comportementale
